ID,UTM.zone,Y_start,X_start,Y_end,X_end,date_start
273,47N,304789,361383,304736,360423,16-Oct-19
274,47N,304275,361378,304162,360429,17-Oct-19
275,47N,342700,328710,341805,328683,28/01/2017 00:00
276,47N,342882,329483,341379,329467,29/01/2017 00:00
277,47N,342079,330783,340698,330667,30/01/2017 00:00
278,47N,282927,418048,283708,417938,12/11/2019 00:00
279,47N,282927,418048,283708,417938,12/11/2019 00:00
280,47N,394314,445953,394021,446167,10/11/2013 00:00
281,47N,393745,446889,393946,446661,10/11/2013 00:00
282,47N,393948,446661,394240,446310,10/11/2013 00:00
283,47N,394130,446668,393896,446972,09/11/2013 00:00
284,47N,394421,446390,394136,446663,09/11/2013 00:00
285,47N,394165,447014,394607,446489,09/11/2013 00:00
286,47N,395098,445896,394910,446073,04/11/2013 00:00
287,47N,395444,445860,394348,447056,05/11/2013 00:00
288,47N,395271,446314,394355,447257, 11/11/2013
289,47N,395599,446234,394503,447267, 6-11-2013
290,47N,395909,446178,394917,447424, 7-11-2013
291,47N,396205,446148,395190,447313,12/11/2013 00:00
292,47N,396205,446148,395190,447313,12/11/2013 00:00
293,47N,396093,446580,396767,445833,13/11/2013 00:00
294,47N,396237,446714,396146,446803,13/11/2013 00:00
295,47N,396855,446072,396567,446279,13/11/2013 00:00
